NAME,DATUM,DAUER,WO,KATEGORIE,GENRES,STADT,BESUCHER,PREIS(AB),
ELECTRIC MOUNTAIN FESTIVAL,08.04. - 12.04.,5 Tage,draußen,Electro Festivals,"Electro, House, Trance",Sölden,17000,€ 0.00,
SNOWBOMBING FESTIVAL,08.04. - 13.04.,6 Tage,unbekannt,Electro Festivals,"Dance, Electro, House, Trance",Mayrhofen,keine Daten,n.v.,
DONAUFESTIVAL,19.04. - 28.04.,10 Tage,unbekannt,Kunst & Kultur Festivals,"Hip-Hop, Kunst & Kultur, Pop",Krems an der Donau,keine Daten,n.v.,
FEMALE FUTURE FESTIVAL BODENSEE,25.04.,1 Tag,drinnen,Conventions,"Kunst & Kultur, Sonstiges",Bregenz,900,€ 174.01,  
NOPPEN AIR,26.04. - 28.04.,3 Tage,draußen,Gemischte Festivals,"Hip-Hop, Pop, Punk, Rock, Ska",Herzogsdorf,2000,n.v.,
TEIFLJAGD METAL OPEN AIR,01.06.,1 Tag,draußen,Metal Festivals,Metal,Helfenberg,keine Daten,n.v.,
NOVA ROCK FESTIVAL,13.06. - 15.06.,3 Tage,draußen,Rock Festivals,"Metal, Punk, Rock",Nickelsdorf,150000,€ 199.90,  
DONAUINSELFEST,21.06. - 23.06.,3 Tage,draußen,Gemischte Festivals,"Pop, Rock, Schlager",Wien,keine Daten,€ 0.00,
WOODSTOCK DER BLASMUSIK,27.06. - 30.06.,4 Tage,draußen,Volksmusik Festivals,Volksmusik,Kopfing im Innkreis,60000,n.v.,
ELECTRIC LOVE FESTIVAL,04.07. - 06.07.,3 Tage,draußen,Electro Festivals,"Dance, Electro, House, Trance",Plainfeld,10000,€ 199.00,  
POOLBAR FESTIVAL,04.07. - 11.08.,39 Tage,drinnen,Gemischte Festivals,"Blues, Comedy, Dance, Electro, Film, Folk, Funk, Hip-Hop, Jazz, Kunst & Kultur, Lesung, Metal, Pop, Punk, Reggae, Rock",Feldkirch,25000,€ 245.00,
LOVELY DAYS FESTIVAL,06.07.,1 Tag,draußen,Rock Festivals,Rock,Eisenstadt,20000,n.v.,
MID EUROPE FESTIVAL,09.07. - 14.07.,6 Tage,draußen,Gemischte Festivals,"Crossover, Jazz, Klassik, Pop, Volksmusik",Schladming,keine Daten,n.v.,  
AREA 53 FESTIVAL,11.07. - 13.07.,3 Tage,draußen,Metal Festivals,"Metal, Mittelalter",Leoben,keine Daten,€ 129.00,  
HILL VIBES FESTIVAL,24.07. - 27.07.,4 Tage,draußen,Reggae Festivals,Reggae,Telfs,8000,€ 99.00,
SZENE OPEN AIR,01.08. - 03.08.,3 Tage,draußen,Gemischte Festivals,"Electro, Hip-Hop, Metal, Pop, Punk, Rock",Lustenau,21000,€ 129.64,  
PARADIES GARTEN FESTIVAL,02.08. - 04.08.,3 Tage,draußen,Electro Festivals,"Dance, Disco, Electro, House",Bruck an der Leitha,keine Daten,€ 99.95,
