LAND        ,NAME                                            ,DATUM           ,DAUER   ,WO        ,KATEGORIE                ,GENRES                                                                                                                            ,STADT                     ,BUNDESLAND       ,BESUCHER    ,URL                                  ,PREIS(AB)
Österreich  ,ELECTRIC MOUNTAIN FESTIVAL                      ,08.04. - 12.04. ,5 Tage  ,draußen   ,Electro Festivals        ,Electro/House/Trance                                                                                                              ,Sölden                    ,Tirol            ,17000       ,https://www.oeticket.com/          ,€ 0.00
Österreich  ,SNOWBOMBING FESTIVAL                            ,08.04. - 13.04. ,6 Tage  ,unbekannt ,Electro Festivals        ,Dance/Electro/House/Trance                                                                                                        ,Mayrhofen                 ,Tirol            ,keine Daten ,https://www.oeticket.com/          ,n.v.
Österreich  ,DONAUFESTIVAL                                   ,19.04. - 28.04. ,10 Tage ,unbekannt ,Kunst & Kultur Festivals ,Hip-Hop/Kunst & Kultur/Pop                                                                                                        ,Krems an der Donau        ,Niederösterreich ,keine Daten ,https://www.oeticket.com/          ,n.v.
Österreich  ,FEMALE FUTURE FESTIVAL BODENSEE                 ,25.04.          ,1 Tag   ,drinnen   ,Conventions              ,Kunst & Kultur/Sonstiges                                                                                                          ,Bregenz                   ,Vorarlberg       ,900         ,https://www.oeticket.com/          ,€ 174.01
Österreich  ,NOPPEN AIR                                      ,26.04. - 28.04. ,3 Tage  ,draußen   ,Gemischte Festivals      ,Hip-Hop/Pop/Punk/Rock/Ska                                                                                                         ,Herzogsdorf               ,Oberösterreich   ,2000        ,https://www.oeticket.com/          ,n.v.
Österreich  ,TEIFLJAGD METAL OPEN AIR                        ,01.06.          ,1 Tag   ,draußen   ,Metal Festivals          ,Metal                                                                                                                             ,Helfenberg                ,Oberösterreich   ,keine Daten ,https://www.oeticket.com/          ,n.v.
Österreich  ,NOVA ROCK FESTIVAL                              ,13.06. - 15.06. ,3 Tage  ,draußen   ,Rock Festivals           ,Metal/Punk/Rock                                                                                                                   ,Nickelsdorf               ,Burgenland       ,150000      ,https://www.oeticket.com/          ,€ 199.90
Österreich  ,DONAUINSELFEST                                  ,21.06. - 23.06. ,3 Tage  ,draußen   ,Gemischte Festivals      ,Pop/Rock/Schlager                                                                                                                 ,Wien                      ,Wien             ,keine Daten ,https://www.oeticket.com/          ,€ 0.00
Österreich  ,WOODSTOCK DER BLASMUSIK                         ,27.06. - 30.06. ,4 Tage  ,draußen   ,Volksmusik Festivals     ,Volksmusik                                                                                                                        ,Kopfing im Innkreis       ,Oberösterreich   ,60000       ,https://www.oeticket.com/          ,n.v.
Österreich  ,ELECTRIC LOVE FESTIVAL                          ,04.07. - 06.07. ,3 Tage  ,draußen   ,Electro Festivals        ,Dance/Electro/House/Trance                                                                                                        ,Plainfeld                 ,Salzburg         ,10000       ,https://www.oeticket.com/          ,€ 199.00
Österreich  ,POOLBAR FESTIVAL                                ,04.07. - 11.08. ,39 Tage ,drinnen   ,Gemischte Festivals      ,Blues/Comedy/Dance/Electro/Film/Folk/Funk/Hip-Hop/Jazz/Kunst & Kultur/Lesung/Metal/Pop/Punk/Reggae/Rock                           ,Feldkirch                 ,Vorarlberg       ,25000       ,https://www.oeticket.com/          ,€ 245.00
Österreich  ,LOVELY DAYS FESTIVAL                            ,06.07.          ,1 Tag   ,draußen   ,Rock Festivals           ,Rock                                                                                                                              ,Eisenstadt                ,Burgenland       ,20000       ,https://www.oeticket.com/          ,n.v.
Österreich  ,MID EUROPE FESTIVAL                             ,09.07. - 14.07. ,6 Tage  ,draußen   ,Gemischte Festivals      ,Crossover/Jazz/Klassik/Pop/Volksmusik                                                                                             ,Schladming                ,Steiermark       ,keine Daten ,https://www.oeticket.com/          ,n.v.
Österreich  ,AREA 53 FESTIVAL                                ,11.07. - 13.07. ,3 Tage  ,draußen   ,Metal Festivals          ,Metal/Mittelalter                                                                                                                 ,Leoben                    ,Steiermark       ,keine Daten ,https://www.oeticket.com/          ,€ 129.00
Österreich  ,HILL VIBES FESTIVAL                             ,24.07. - 27.07. ,4 Tage  ,draußen   ,Reggae Festivals         ,Reggae                                                                                                                            ,Telfs                     ,Tirol            ,8000        ,https://www.oeticket.com/          ,€ 99.00
Österreich  ,SZENE OPEN AIR                                  ,01.08. - 03.08. ,3 Tage  ,draußen   ,Gemischte Festivals      ,Electro/Hip-Hop/Metal/Pop/Punk/Rock                                                                                               ,Lustenau                  ,Vorarlberg       ,21000       ,https://www.oeticket.com/          ,€ 129.64
Österreich  ,PARADIES GARTEN FESTIVAL                        ,02.08. - 04.08. ,3 Tage  ,draußen   ,Electro Festivals        ,Dance/Disco/Electro/House                                                                                                         ,Bruck an der Leitha       ,Niederösterreich ,keine Daten ,https://www.oeticket.com/          ,€ 99.95
Schweiz     ,M4MUSIC FESTIVAL                                ,22.03. - 24.03. ,3 Tage  ,drinnen   ,Gemischte Festivals      ,Electro/Hip-Hop/Jazz/Kunst & Kultur/Pop/Reggae/Rock/Sonstiges                                                                     ,Zürich                    ,Zürich           ,900         ,          ,€ 45.00
Schweiz     ,BLUES FESTIVAL BASEL                            ,17.04. - 21.04. ,5 Tage  ,drinnen   ,Blues Festivals          ,Blues                                                                                                                             ,Basel                     ,Basel            ,keine Daten ,          ,n.v.
Schweiz     ,GREENFIELD FESTIVAL                             ,13.06. - 15.06. ,3 Tage  ,draußen   ,Rock Festivals           ,Rock                                                                                                                              ,Matten bei Interlaken     ,Bern             ,72000       ,          ,€ 214.85
Schweiz     ,JAZZ ASCONA FESTIVAL                            ,22.06. - 29.06. ,8 Tage  ,draußen   ,Jazz Festivals           ,Afrika/Funk/Jazz                                                                                                                  ,Ascona                    ,Tessin           ,keine Daten ,          ,n.v.
Schweiz     ,TRUCKER & COUNTRY FESTIVAL SCHWEIZ              ,28.06. - 30.06. ,3 Tage  ,draußen   ,Country Festivals        ,Country                                                                                                                           ,Interlaken                ,Bern             ,keine Daten ,          ,€ 103.00
Schweiz     ,BODMER OPEN AIR                                 ,05.07. - 07.07. ,3 Tage  ,draußen   ,Gemischte Festivals      ,Dance/Disco/Folk/Pop/Punk/Rock/Ska                                                                                                ,Visperterminen            ,Wallis           ,1500        ,          ,n.v.
Schweiz     ,KLEINSTADT OPEN AIR WALENSTADT                  ,05.07. - 07.07. ,3 Tage  ,draußen   ,Pop Festivals            ,Pop/Rock                                                                                                                          ,Walenstadt                ,St.Gallen        ,1500        ,          ,€ 123.00
Schweiz     ,OPEN AIR FRAUENFELD                             ,11.07. - 13.07. ,3 Tage  ,draußen   ,Hip-Hop Festivals        ,Hip-Hop                                                                                                                           ,Frauenfeld                ,Thurgau          ,185000      ,          ,€ 258.00
Schweiz     ,GURTENFESTIVAL                                  ,17.07. - 20.07. ,4 Tage  ,draußen   ,Gemischte Festivals      ,Electro/Hip-Hop/Pop/Rock                                                                                                          ,Wabern-Bern               ,Bern             ,78000       ,          ,n.v.
Schweiz     ,OPEN AIR LUMNEZIA                               ,25.07. - 27.07. ,3 Tage  ,draußen   ,Gemischte Festivals      ,Hip-Hop/Metal/Pop/Rock                                                                                                            ,Degen                     ,Grisons          ,18000       ,          ,n.v.
Schweiz     ,ROTTÄ ROCK FÄSCHT                               ,26.07. - 27.07. ,2 Tage  ,draußen   ,Metal Festivals          ,Metal/Punk/Rock                                                                                                                   ,Ulrichen                  ,Wallis           ,keine Daten ,          ,€ 99.00
Schweiz     ,BUSKERS BERN                                    ,08.08. - 10.08. ,3 Tage  ,draußen   ,Gemischte Festivals      ,Afrika/Blues/Comedy/Dance/Deutschrock/Electro/Folk/Hip-Hop/Irish/Jazz/Klassik/Kunst & Kultur/Pop/Punk/Reggae/Rock/Volksmusik      ,Bern                      ,Bern             ,60000       ,          ,n.v.
Schweiz     ,SUMMERDAYS FESTIVAL                             ,30.08. - 31.08. ,2 Tage  ,draußen   ,Gemischte Festivals      ,Pop/Rock/Sonstiges/Volksmusik                                                                                                     ,Arbon                     ,Thurgau          ,24000       ,          ,n.v.
Deutschland ,3000 GRAD FESTIVAL                              ,09.08. - 11.08. ,3 Tage  ,draußen   ,Electro Festivals        ,Dance/Electro/Electronic Dance Music (EDM)/Trance                                                                                 ,Feldberg                  ,keine Daten      ,keine Daten ,          ,€ 179.00
Deutschland ,AAARGH FESTIVAL                                 ,20.06. - 22.06. ,3 Tage  ,draußen   ,Metal Festivals          ,Folk/Metal/Rock                                                                                                                   ,Leutkirch im Allgäu       ,keine Daten      ,keine Daten ,          ,€ 66.00
Deutschland ,AALRIDE OPEN AIR                                ,21.06. - 23.06. ,3 Tage  ,draußen   ,Metal Festivals          ,Hardcore (Metal)/Metal/Punk/Rock                                                                                                  ,Ihlow                     ,keine Daten      ,1000        ,          ,€ 40.00
Deutschland ,ABOUT YOU PANGEA FESTIVAL                       ,08.08. - 11.08. ,4 Tage  ,draußen   ,Gemischte Festivals      ,Electro/Hip-Hop/Pop/Rock                                                                                                          ,Pütznitz                  ,keine Daten      ,keine Daten ,          ,€ 141.00
Deutschland ,AFDREIHT & BUTEN FESTIVAL                       ,26.07. - 27.07. ,2 Tage  ,draußen   ,Metal Festivals          ,Hardcore (Metal)/Metal/Rock                                                                                                       ,Goldenstedt               ,keine Daten      ,2000        ,          ,n.v.
Deutschland ,AIRBEAT ONE FESTIVAL                            ,10.07. - 14.07. ,5 Tage  ,draußen   ,Electro Festivals        ,Dance/Electro/House                                                                                                               ,Neustadt-Glewe            ,keine Daten      ,65000       ,          ,€ 159.99
Deutschland ,AMPHI FESTIVAL                                  ,27.07. - 28.07. ,2 Tage  ,draußen   ,Gothic Festivals         ,Electro/Gothic/Metal/Mittelalter                                                                                                  ,Köln                      ,keine Daten      ,12500       ,          ,€ 104.00
Deutschland ,ANGELITER OPEN AIR                              ,16.08. - 17.08. ,2 Tage  ,draußen   ,Rock Festivals           ,Crossover/Deutschrock/Metal/Punk/Rock/Ska/Sonstiges                                                                               ,Taarstedt                 ,keine Daten      ,2000        ,          ,€ 65.00
Deutschland ,ANKERBERG FESTIVAL                              ,04.07. - 07.07. ,4 Tage  ,draußen   ,Gemischte Festivals      ,Deutschrock/Electro/Hardcore (Metal)/Hip-Hop/Metal/Punk/Rock                                                                      ,Oberlungwitz              ,keine Daten      ,10000       ,          ,n.v.
Deutschland ,ANTARIS PROJECT                                 ,12.07. - 15.07. ,4 Tage  ,draußen   ,Electro Festivals        ,Electronic Dance Music (EDM)/Goa/Trance                                                                                           ,Gollenberg                ,keine Daten      ,6000        ,          ,€ 145.00
Deutschland ,APEN AIR FESTIVAL                               ,25.05.          ,1 Tag   ,draußen   ,Punk Festivals           ,Punk/Rock                                                                                                                         ,Apen                      ,keine Daten      ,2500        ,          ,€ 38.00
Deutschland ,APOLDAER MUSIKSOMMER                            ,23.08. - 25.08. ,3 Tage  ,draußen   ,Gemischte Festivals      ,Disco/Hip-Hop/Pop/Rock/Schlager/Sonstiges/Volksmusik                                                                              ,Apolda                    ,keine Daten      ,keine Daten ,          ,n.v.
Deutschland ,AQUAMARIA FESTIVAL                              ,09.08. - 10.08. ,2 Tage  ,draußen   ,Rock Festivals           ,Crossover/Metal/Rock                                                                                                              ,Plattenburg               ,keine Daten      ,500         ,          ,n.v.
Deutschland ,BACHBLYTEN FESTIVAL                             ,26.07. - 28.07. ,3 Tage  ,draußen   ,Electro Festivals        ,Electro/Electronic Dance Music (EDM)/Goa/Trance                                                                                   ,Husum                     ,keine Daten      ,3000        ,          ,€ 0.00
Deutschland ,BACKFIRE FESTIVAL                               ,21.06. - 22.06. ,2 Tage  ,draußen   ,Rock Festivals           ,Rockabilly                                                                                                                        ,Burgdorf                  ,keine Daten      ,500         ,          ,€ 69.00
Deutschland ,BADEN IN BLUT OPEN AIR                          ,19.07. - 20.07. ,2 Tage  ,draußen   ,Metal Festivals          ,Metal/Rock                                                                                                                        ,Weil am Rhein             ,keine Daten      ,keine Daten ,          ,n.v.
Deutschland ,BANDLIFT - FESTIVAL                             ,11.07. - 14.07. ,4 Tage  ,draußen   ,Gemischte Festivals      ,Funk/Metal/Pop/Punk/Rock/Ska/Sonstiges/Volksmusik                                                                                 ,Gerstetten                ,keine Daten      ,5000        ,          ,€ 0.00
Deutschland ,BASS & BIER FESTIVAL                            ,02.11.          ,1 Tag   ,drinnen   ,Gemischte Festivals      ,Electronic Dance Music (EDM)/Schlager                                                                                             ,Bonn                      ,keine Daten      ,5000        ,          ,€ 19.99
Deutschland ,BAVARIAN BATTLE OPEN AIR                        ,31.05. - 01.06. ,2 Tage  ,draußen   ,Metal Festivals          ,Metal                                                                                                                             ,Kirchdorf am Inn          ,keine Daten      ,keine Daten ,          ,€ 70.00
Deutschland ,BAVARIAN BATTLE WINTER                          ,13.01.          ,1 Tag   ,drinnen   ,Metal Festivals          ,Metal                                                                                                                             ,Rosenheim                 ,keine Daten      ,keine Daten ,          ,€ 15.00
